,mse,vies,variancia
100,0.006504759352727747,0.0047961750995071635,0.0017085842532205847
105,0.00652808355314903,0.0047995190627325565,0.0017285644904164743
112,0.006484141515620632,0.004796457586061854,0.0016876839295587782
119,0.006394539510221789,0.0048144810973711205,0.0015800584128506671
126,0.006084103252600404,0.005047664410178365,0.0010364388424220407
133,0.00599800467890206,0.00506913545058633,0.0009288692283157316
141,0.0059802261798334935,0.004979891897311117,0.0010003342825223758
150,0.006794916301210612,0.004987861843405049,0.001807054457805562
159,0.006036819281193536,0.00484951986959273,0.0011872994116008037
168,0.005914554098670842,0.00485238130443218,0.001062172794238663
178,0.006202069741713302,0.005059585709855684,0.001142484031857618
189,0.009460357776604282,0.006326403478667058,0.003133954297937224
200,0.008942233594452705,0.005947045644911712,0.002995187949540992
212,0.015409206821272392,0.005659543018765406,0.009749663802506985
225,0.009078730139368519,0.004811474517274465,0.004267255622094052
239,0.009414486787829105,0.0047661018987658205,0.004648384889063282
253,0.00889688235688371,0.004670845644567281,0.004226036712316429
268,0.007293444688597523,0.004481971365040176,0.0028114733235573485
284,0.011547063285212876,0.004639502810946486,0.006907560474266392
301,0.011111782544958199,0.004521779014831049,0.006590003530127152
319,0.012030208192776464,0.004653378345539546,0.007376829847236922
339,0.010597621524207936,0.004529803524617521,0.006067817999590416
359,0.01047725964973649,0.004566060407622716,0.005911199242113771
380,0.008027169479714182,0.0044762168486964715,0.0035509526310177108
403,0.007328038765079564,0.0042864382097678455,0.003041600555311718
427,0.007072499256185495,0.004258554687801734,0.0028139445683837607
453,0.006732135737744148,0.004238501447619011,0.002493634290125136
480,0.007337264004493825,0.003958128385926574,0.0033791356185672527
509,0.006230008054016162,0.004013422029150296,0.002216586024865866
539,0.007816754932957682,0.0040435917271862,0.0037731632057714823
572,0.005284053127335502,0.003952885306115093,0.0013311678212204097
606,0.004963966560040833,0.003964044463507254,0.000999922096533579
642,0.005245724117351989,0.003906645084985893,0.001339079032366097
681,0.0045425934656375035,0.0039031315599622907,0.0006394619056752116
722,0.005478337105578089,0.0038666088455285136,0.0016117282600495745
765,0.014155440914223404,0.009806794507938818,0.0043486464062845835
811,0.013241199401385675,0.010011275900259246,0.0032299235011264337
859,0.013742019588121476,0.010140080961857263,0.0036019386262642126
911,0.014102210727535766,0.010106478788958108,0.00399573193857766
965,0.013535928892780814,0.00954814072047665,0.003987788172304162
1023,0.01276168365464735,0.009251005284269434,0.003510678370377919
1084,0.015362437450248047,0.01117035800814811,0.004192079442099939
1149,0.014405206332367287,0.010930685558764789,0.0034745207736024976
1218,0.013509319981222283,0.010583935703918615,0.0029253842773036627
1291,0.01324763020146948,0.01053950516681445,0.002708125034655029
1368,0.012251610092101083,0.009898232446904465,0.0023533776451966225
1450,0.012373297665063333,0.009886530807191799,0.0024867668578715334
1537,0.006836452670305864,0.004604848207695098,0.002231604462610766
1629,0.006645883770539806,0.004494421596866834,0.002151462173672971
1727,0.007147155404757348,0.0047176147226941235,0.002429540682063227
1830,0.006773769584618493,0.004551205989272445,0.0022225635953460484
1940,0.006766768128733328,0.004534730567009866,0.0022320375617234617
2056,0.006964680868844089,0.004660744144318766,0.0023039367245253233
2179,0.006704652834597219,0.004555861250504535,0.002148791584092684
2310,0.006787887283262487,0.004565638924075332,0.0022222483591871544
2448,0.004582814549443597,0.0037049041342917337,0.0008779104151518616
2595,0.004757810241516242,0.0037094741107582836,0.0010483361307579602
2750,0.004440692721952851,0.0036522057004905804,0.0007884870214622706
2915,0.004760667196367571,0.0037023282788040427,0.001058338917563528
3089,0.004584431698790559,0.0036592207525881198,0.0009252109462024389
3274,0.004507985558478044,0.0036390024001101205,0.0008689831583679234
3470,0.004322759022273226,0.003600699365432395,0.0007220596568408312
3678,0.0044728116800357605,0.0036239135977173486,0.0008488980823184109
3898,0.004399918554129118,0.003621759957381636,0.0007781585967474794
4132,0.004668246728055462,0.0036783389761450985,0.0009899077519103657
4379,0.004626026968633704,0.0036695109351059982,0.0009565160335277055
4641,0.004438682695042531,0.003632461240027129,0.0008062214550154009
4919,0.004559902777398445,0.003651286606991289,0.0009086161704071565
5214,0.004575961043633363,0.0036576372336748885,0.000918323809958475
5526,0.004512398457873383,0.003642915384731753,0.0008694830731416303
5857,0.0045075089057991175,0.003638930906687905,0.000868577999111213
6207,0.003779068277282797,0.003525137395508891,0.0002539308817739063
6579,0.003655611870748732,0.0035061891438961015,0.00014942272685263084
6973,0.003605122362466974,0.0035165212995432495,8.860106292372489e-05
7390,0.0035981935791188305,0.003512431096336624,8.576248278220721e-05
7833,0.0036083795824460884,0.003514950139356072,9.342944309001728e-05
8302,0.0035692971412637966,0.00350411592684034,6.518121442345676e-05
8799,0.0035675233387587003,0.003503949635535614,6.357370322308685e-05
9326,0.0036040468357647288,0.0035236371407273426,8.040969503738655e-05
9884,0.003621539521800316,0.003529265328589559,9.227419321075719e-05
10476,0.0035926370117680293,0.00351313305366729,7.950395810074014e-05
11103,0.0035640779865105626,0.003491163772598549,7.291421391201378e-05
11768,0.0035574559170455044,0.0034884106802787127,6.904523676679242e-05
12472,0.0035546922905367053,0.0034880435817165527,6.664870882015385e-05
13219,0.003552404766598318,0.003488714625644465,6.369014095385251e-05
