,mse,vies,variancia
100,0.013264983363863876,0.004931222639040554,0.008333760724823322
105,0.015156993367389085,0.004849403854824935,0.010307589512564152
112,0.007572577489740596,0.00480279109599755,0.0027697863937430458
119,0.007018322984853858,0.004836143201746412,0.002182179783107446
126,0.006647024049995465,0.004989736646095797,0.0016572874038996658
133,0.008418106991355936,0.005039427341463884,0.003378679649892053
141,0.010015905979283589,0.004969447221174197,0.005046458758109391
150,0.00945604394952009,0.005001894892139585,0.004454149057380505
159,0.007057240347617958,0.004732770196178938,0.0023244701514390205
168,0.008397783582197761,0.004678658886629213,0.0037191246955685492
178,0.008158112663781003,0.00470488702034534,0.003453225643435666
189,0.010648655439193164,0.005070836915462691,0.005577818523730469
200,0.011278680419923198,0.005201196095757209,0.0060774843241659885
212,0.01228979708685182,0.004906190491097364,0.00738360659575446
225,0.011510201386446437,0.0046273265316488605,0.006882874854797574
239,0.007429219121450612,0.004514346094067079,0.0029148730273835357
253,0.005426902694723611,0.004418351749051566,0.001008550945672046
268,0.007291585906637696,0.0043400303519483836,0.002951555554689312
284,0.006712522172154736,0.004280693274533543,0.0024318288976211914
301,0.009732835949362573,0.004340520168210248,0.005392315781152325
319,0.00562213676006742,0.004261500836647019,0.0013606359234204007
339,0.0067340501306767464,0.004248530464081449,0.0024855196665952975
359,0.006075496669416428,0.0042817872132737125,0.0017937094561427153
380,0.005703658579458903,0.004373617750212784,0.0013300408292461186
403,0.00973681084798033,0.004291614203775178,0.005445196644205153
427,0.007063411725512547,0.004265050691370541,0.0027983610341420087
453,0.010314704065078941,0.004331666632308311,0.005983037432770632
480,0.009026367048847274,0.004019396288217141,0.00500697076063013
509,0.007179615062213095,0.0039934208249013375,0.003186194237311756
539,0.009381318682298634,0.004090012930647494,0.005291305751651139
572,0.00846773053360251,0.004040142371013891,0.004427588162588622
606,0.007011839475258082,0.004017521104191791,0.0029943183710662903
642,0.01706236960237064,0.004082342145443945,0.012980027456926694
681,0.004479444314763796,0.0038810662908727923,0.0005983780238910033
722,0.006511175177854666,0.003905248756734953,0.0026059264211197104
765,0.013811923516886919,0.006815439567194966,0.006996483949691952
811,0.030027149505932618,0.007077649907806017,0.02294949959812659
859,0.011682938332934757,0.006459105466847356,0.005223832866087403
911,0.015747955620917783,0.006734802623523112,0.009013152997394669
965,0.025019465280201155,0.007271782702402042,0.017747682577799115
1023,0.018874919490978373,0.007064056672057411,0.011810862818920968
1084,0.017160604732566708,0.008057939478738615,0.009102665253828088
1149,0.014622176578119168,0.007417558363584362,0.007204618214534805
1218,0.011000080896021766,0.006920728518063148,0.004079352377958619
1291,0.010979268788836262,0.0070171829243874,0.003962085864448864
1368,0.010236466264348853,0.005964560403569239,0.004271905860779618
1450,0.012429033503384162,0.005857538772608348,0.006571494730775813
1537,0.008212520410058039,0.004052071529104416,0.004160448880953623
1629,0.00531105023022579,0.00407915754964493,0.0012318926805808608
1727,0.00563591357923096,0.004198077108622199,0.001437836470608761
1830,0.005456424174646876,0.004091591233588664,0.0013648329410582108
1940,0.005337018617555919,0.004032850069457565,0.001304168548098354
2056,0.005270999517667638,0.004087851885319252,0.0011831476323483875
2179,0.005051642145998209,0.003964318705295052,0.001087323440703157
2310,0.004772776798751241,0.003862906495865674,0.0009098703028855665
2448,0.004801718964365068,0.003651923532218992,0.0011497954321460766
2595,0.004153577293730396,0.003618746582663169,0.0005348307110672278
2750,0.0039502042340974295,0.0035812596993610476,0.0003689445347363816
2915,0.004267000821448795,0.003611012385299377,0.0006559884361494178
3089,0.004143450494133142,0.0035841082622718986,0.0005593422318612439
3274,0.0040982300048326694,0.0035736187411493773,0.0005246112636832909
3470,0.003955509034625231,0.0035521325209307325,0.0004033765136944988
3678,0.004131325906780735,0.0035764199851228457,0.0005549059216578891
3898,0.004037805020496561,0.0035663142120711954,0.000471490808425365
4132,0.0041984682934868315,0.0035902209616697203,0.0006082473318171107
4379,0.00420444179063463,0.0035897592868383847,0.0006146825037962458
4641,0.004127105511721586,0.003580049222563362,0.000547056289158224
4919,0.004193764405724328,0.003588206320252357,0.0006055580854719719
5214,0.004341572356346052,0.003608806384376333,0.0007327659719697187
5526,0.0042303632360534815,0.0035920869956591562,0.0006382762403943254
5857,0.004044186964269961,0.0035563895675257487,0.0004877973967442115
6207,0.003576543629442406,0.0035033923732783064,7.315125616409999e-05
6579,0.0035604004009454526,0.0034901653344649327,7.02350664805181e-05
6973,0.003586914268010001,0.0035017083009974076,8.520596701259255e-05
7390,0.00356172747894485,0.0034950846837889403,6.664279515590956e-05
7833,0.0035792203785938214,0.0034995073416021595,7.971303699166203e-05
8302,0.0035487397468234715,0.0034914905669817036,5.724917984176867e-05
8799,0.0035511167190834174,0.003492286019771333,5.8830699312084346e-05
9326,0.0035698033318313847,0.0035079188100043835,6.188452182700091e-05
9884,0.003595002570239916,0.003510320538872745,8.468203136717193e-05
