,mse,vies,variancia
100,0.03469632903312918,0.03426827045837602,0.00042805857475319695
105,0.03496693749145733,0.03450921420800412,0.000457723283453229
112,0.03492146004052842,0.03448808167567288,0.0004333783648556003
119,0.03481259497185534,0.03443790616190968,0.00037468880994567105
126,0.035015387412360245,0.0346578630452918,0.00035752436706838525
133,0.03489927742488661,0.0345780472659834,0.00032123015890320677
141,0.0350445079214346,0.03478006080612748,0.0002644471153070928
150,0.035153771505479735,0.034897125128100906,0.00025664637737880623
159,0.034844398062687486,0.03464719431261921,0.00019720375006827763
168,0.034558388380731137,0.034354272604757305,0.0002041157759738432
178,0.034383820016310615,0.03421940012745871,0.00016441988885184213
189,0.034462499386510775,0.0342919143956858,0.00017058499082497683
200,0.034359068957353946,0.03420471528331021,0.00015435367404374088
212,0.034146280018646974,0.03398749549884349,0.000158784519803471
225,0.03405439492638821,0.033922526117375805,0.00013186880901240637
239,0.03390627835890347,0.033770996872724376,0.00013528148617907528
253,0.03379168637848821,0.033658710279623645,0.00013297609886456135
268,0.03378782388399343,0.03365233805756182,0.00013548582643160766
284,0.03377825615521156,0.0336525270113623,0.0001257291438492572
301,0.03378835934352573,0.03368520254140468,0.00010315680212106546
319,0.03374457611474748,0.03365060373746174,9.397237728575513e-05
339,0.03379161741155483,0.03369634534684747,9.527206470735051e-05
359,0.03379247221680939,0.033708412909355064,8.405930745431822e-05
380,0.03377420277770747,0.03369083596356346,8.336681414402122e-05
403,0.033760846546877395,0.03368163397116176,7.921257571561e-05
427,0.0337655428950238,0.033691407430718835,7.413546430495606e-05
453,0.03378412950439774,0.0337170507647721,6.70787396256668e-05
480,0.033724091605299406,0.033659212569261285,6.48790360381259e-05
509,0.033716443647779176,0.03365509146487284,6.135218290633784e-05
539,0.033707447243817495,0.0336470706223636,6.037662145389691e-05
572,0.033702173452346676,0.03364566693308411,5.650651926257048e-05
606,0.03372012843392323,0.03367156872119313,4.855971273010719e-05
642,0.03375073404745513,0.03370450081446666,4.623323298847917e-05
681,0.03371519382876739,0.033668940308817945,4.625351994943359e-05
722,0.033701216546728835,0.033661143736178935,4.007281054990481e-05
765,0.03368116956797061,0.03364414615387597,3.7023414094642725e-05
811,0.0336637463757147,0.0336291874378691,3.4558937845585524e-05
859,0.03366511637257497,0.03363444790274328,3.066846983169816e-05
911,0.03365658353845291,0.03362778489066751,2.8798647785402753e-05
965,0.03365092938917331,0.033626491394973104,2.443799420020636e-05
1023,0.033652446135217756,0.03362877729844488,2.3668836772888028e-05
1084,0.03367132154344393,0.03364842332512533,2.28982183185978e-05
1149,0.033657698212546334,0.03363671415947564,2.0984053070684374e-05
1218,0.033649593633823346,0.033631132404930104,1.846122889323844e-05
1291,0.03364894979978113,0.03363171868602428,1.723111375684702e-05
1368,0.03364373444287339,0.0336268010312505,1.6933411622894585e-05
1450,0.033642564530807634,0.033626006314776025,1.6558216031610098e-05
1537,0.033641501397310196,0.0336263134444253,1.5187952884898242e-05
1629,0.03364119316064584,0.03362699400865845,1.419915198737603e-05
1727,0.033640161795130206,0.033625975292356676,1.418650277352648e-05
1830,0.033639055960299244,0.03362709787486703,1.1958085432219834e-05
1940,0.033638083885009586,0.03362674297258898,1.1340912420606364e-05
2056,0.033641601534626815,0.033627704876680285,1.3896657946537544e-05
2179,0.033639442327921966,0.033626505425574736,1.2936902347229114e-05
2310,0.03363858361408901,0.033625970801822266,1.2612812266744948e-05
2448,0.033638247125006585,0.033626145907640514,1.2101217366066816e-05
2595,0.03363893074618512,0.03362603221168615,1.2898534498966269e-05
2750,0.03363761337598437,0.03362597053867099,1.1642837313373035e-05
2915,0.033636915174158635,0.03362601962280175,1.089555135689092e-05
3089,0.033636253205549735,0.03362654556563766,9.707639912073678e-06
3274,0.0336366369283881,0.03362723850772135,9.398420666749936e-06
3470,0.03363667708099014,0.03362761990410304,9.057176887103726e-06
3678,0.03364077693026631,0.033633308398323396,7.46853194291586e-06
3898,0.0336387291696087,0.033631896059864275,6.833109744428787e-06
4132,0.03364092502846895,0.033632566365693006,8.358662775942093e-06
4379,0.03363974130309023,0.03363242997710094,7.311325989294257e-06
4641,0.03363685597231731,0.033629930322756525,6.9256495607869195e-06
4919,0.0336373639972889,0.0336305521212464,6.8118760424906295e-06
