,mse,vies,variancia
100,4665.3302733951305,1654.7282329269713,3010.6020404681585
105,3721.723487804438,1567.2903988915753,2154.433088912863
112,3312.4815385724332,1572.9735140330242,1739.5080245394095
119,3675.5497322600477,2061.1647524795553,1614.3849797804921
126,3115.800254944831,1797.0334338647542,1318.7668210800764
133,3869.5880839147167,2500.9424797715656,1368.6456041431506
141,3721.9254754407225,2573.093253287718,1148.8322221530054
150,3927.5113874457866,2868.1578800609227,1059.353507384865
159,4048.7877347928293,3062.727938112565,986.0597966802642
168,3902.878011922568,2981.726609386211,921.1514025363568
178,2533.0243530689627,1787.256574744885,745.7677783240779
189,1873.5805048453385,1374.1597343165358,499.42077052880296
200,1386.338298108216,948.4155332546545,437.92276485356126
212,704.7175549350518,384.0521130752614,320.66544185979035
225,697.6736554835777,378.0294174380569,319.64423804552075
239,703.4629267263363,310.0042116539987,393.4587150723377
253,469.5573472353042,209.78291524264165,259.7744319926627
268,467.64468801987664,158.7572954298173,308.8873925900593
284,472.6321657855284,195.81745627336386,276.8147095121646
301,579.6947737252348,285.1726609362131,294.5221127890218
319,496.2815631448575,237.51067787048498,258.77088527437263
339,379.8986543690464,193.95129601733203,185.94735835171437
359,340.93033463921586,146.41835784647787,194.51197679273793
380,336.50633114255857,119.71857396464581,216.78775717791285
403,280.7468201754398,83.87153159330586,196.87528858213392
427,253.68084785796427,73.20996465878227,180.470883199182
453,203.38201546890997,50.618716938293964,152.76329853061603
480,392.3220650385035,158.71880535723662,233.6032596812668
509,347.59872132882657,156.79100667951207,190.80771464931453
539,291.3098474303851,131.17291948029114,160.13692795009393
572,257.5244706015115,129.1492298426716,128.37524075883996
606,183.77934510166813,79.59146347195706,104.18788162971103
642,144.57744036292289,59.82954094792848,84.74789941499444
681,116.89243167881814,30.94198081916473,85.95045085965342
722,109.02349444113686,37.7993405969113,71.22415384422558
765,91.64120167813977,23.097322432917817,68.54387924522196
811,81.63905714977751,9.196822682617539,72.44223446715996
859,59.78566682552648,9.578729552515885,50.20693727301058
911,46.23618845951507,6.0400761926124025,40.19611226690266
965,31.74579447610301,3.6010660568705752,28.144728419232436
1023,29.920439101589782,3.071670627029454,26.84876847456032
1084,33.506220012882146,4.696321627680792,28.809898385201354
1149,26.27645934322795,2.312879083487781,23.963580259740176
1218,23.40060844245913,1.7993789897891332,21.601229452669994
1291,20.78051351436401,1.9478380662734422,18.83267544809057
1368,17.709886922134576,0.375504387354056,17.334382534780524
1450,17.114974198454778,1.0041560279929354,16.11081817046184
1537,19.367223545568496,3.8693214676367766,15.49790207793172
1629,9.62253680426842,0.6843716524967899,8.93816515177163
1727,9.961532822508005,0.9336857605003607,9.027847062007647
1830,7.132827961499931,0.28271141813478734,6.850116543365143
1940,7.748586862311847,0.19330311148929283,7.5552837508225545
2056,9.32553722658803,1.5693672191394812,7.7561700074485485
2179,7.048725770395256,0.7221322990832624,6.326593471311993
2310,4.790472533529142,0.27562111739730066,4.51485141613184
2448,5.483834112489253,0.6273223187776047,4.856511793711648
2595,4.845615519833015,1.2032218030882897,3.6423937167447256
2750,3.3335481853506566,0.7263058207045299,2.607242364646127
2915,4.02061980736369,0.8133041100566354,3.2073156973070542
3089,2.8304766973618154,0.3519238738015339,2.478552823560281
3274,1.975831406923894,0.01580258938423634,1.9600288175396576
3470,1.76743035426451,0.010746894808329722,1.7566834594561804
3678,1.5175985784076056,0.005794754812951301,1.5118038235946545
3898,1.4617781966174648,0.116853041248168,1.344925155369297
4132,0.9907870650951986,0.04835817785722485,0.9424288872379738
4379,0.9806634847933167,0.03221973641687935,0.9484437483764372
4641,0.9416880878299076,0.009258741311075272,0.9324293465188325
4919,0.8794200031967999,0.021494178854118057,0.857925824342682
5214,0.8117874652324937,0.03413015059750749,0.777657314634986
5526,0.9768646896783043,0.19578757273273312,0.7810771169455715
5857,0.9751868045368386,0.2608842402620904,0.714302564274748
6207,1.0049657228988933,0.31872141433449297,0.6862443085644002
6579,0.5656234102861671,0.08439112435598727,0.48123228593018
6973,0.5364447852661862,0.0798387903073379,0.4566059949588483
7390,0.42244548245315705,0.03205816450927671,0.39038731794388026
7833,0.38392404708405264,0.012616394140519458,0.3713076529435333
8302,0.07232394240746791,0.004255044069005662,0.06806889833846223
8799,0.07231516408603277,0.005689082995626062,0.06662608109040671
9326,0.07179725735354044,0.00774065209155305,0.0640566052619874
9884,0.06425922659740518,0.004336657935994919,0.05992256866141026
10476,0.16287082807797318,0.0052455583036229445,0.15762526977435026
11103,0.24559566675300495,0.006490826562895601,0.23910484019010936
11768,0.01836909102692711,0.004462714538730634,0.013906376488196474
12472,0.016367774132475275,0.004061298426638992,0.012306475705836286
13219,0.014186075548060331,0.0040579126989117205,0.010128162849148612
14010,0.010989744533316867,0.0037639830684646626,0.007225761464852204
14849,0.01004286680238316,0.0037433800448244993,0.0062994867575586625
15738,0.007883495288148917,0.003677031963192244,0.004206463324956673
16681,0.005108942539536698,0.0035998996049011914,0.0015090429346355076
17679,0.004866441282349443,0.003593578675787726,0.0012728626065617167
18738,0.004524763068106348,0.003575525131956543,0.0009492379361498059
19860,0.00458956229407587,0.0035616099643653934,0.0010279523297104765
21049,0.004321360381248584,0.0034961923704551106,0.0008251680107934735
22309,0.003994294754423116,0.003481766988281644,0.0005125277661414709
23644,0.0038744027225958134,0.0034783688410864907,0.0003960338815093225
25060,0.0038584155973107877,0.0034767642066256313,0.00038165139068515523
26560,0.0037794462549992696,0.0034784302125304653,0.0003010160424688054
28151,0.003614833043156748,0.0034646515014261415,0.00015018154173060598
29836,0.003549214593124982,0.0034657439036445553,8.347068948042863e-05
31622,0.0035625963106013176,0.003462765120058388,9.983119054292925e-05
